City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
459,Papetoai,PF,78.39,light rain,-17.4961,-149.8729,Fare Vaihere
460,Merauke,ID,83.17,broken clouds,-8.4667,140.3333,
465,Vanavara,RU,79.0,overcast clouds,60.34,102.2797,
473,West Bay,KY,82.08,overcast clouds,19.3667,-81.4167,Calypso Cove
475,Akdepe,TM,82.49,few clouds,42.0551,59.3788,
476,Thinadhoo,MV,83.57,overcast clouds,0.5333,72.9333,
482,Grand Baie,MU,76.44,clear sky,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
483,Alyangula,AU,80.71,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
487,Isangel,VU,78.15,clear sky,-19.55,169.2667,Tanna Lodge
490,Columbus,US,81.88,clear sky,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
494,Boa Vista,BR,76.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
497,Quatre Cocos,MU,76.08,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
503,Tateyama,JP,75.09,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
505,Araouane,ML,86.13,clear sky,18.9048,-3.5265,
507,Mahibadhoo,MV,83.61,broken clouds,3.7833,72.9667,Omadhoo Inn
508,Gat,IL,76.82,clear sky,31.61,34.7642,OlusHome
509,Ternate,ID,85.1,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
512,Suba,PH,85.35,broken clouds,10.8438,121.0102,Jarnchi Pension House
514,Waingapu,ID,85.59,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
515,Samarai,PG,80.08,very heavy rain,-10.6167,150.6667,Nuli Sapi
516,Koumac,NC,79.41,scattered clouds,-20.5667,164.2833,Le Monitel
521,Victoria,HK,87.85,overcast clouds,22.2855,114.1577,Mini Central
522,Cockburn Town,TC,81.34,few clouds,21.4612,-71.1419,Osprey Beach Hotel
523,Jacqueville,CI,77.67,moderate rain,5.2052,-4.4146,Hotel Le Martin Pecheur
524,Goderich,CA,84.52,scattered clouds,43.7501,-81.7165,Harmony Inn
526,Grand Gaube,MU,76.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
529,Silver City,US,76.3,clear sky,32.7701,-108.2803,Copper Manor Motel
530,Umm Kaddadah,SD,84.97,clear sky,13.6017,26.6876,
532,Malyye Derbety,RU,77.92,broken clouds,47.9547,44.6808,
535,Ulety,RU,80.11,clear sky,51.3572,112.4849,
536,Chabahar,IR,85.28,clear sky,25.2919,60.643,هتل گدروشیا
543,Marawi,PH,80.71,light rain,7.9986,124.2928,Derogongan Residence
544,Sungairaya,ID,82.51,broken clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
546,Mitsamiouli,KM,78.12,clear sky,-11.3847,43.2844,Foyer ADM
550,Fredericksburg,US,81.72,overcast clouds,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
551,Liku,ID,86.86,overcast clouds,-0.7275,119.8922,Wahyu
555,Abu Kamal,SY,86.02,clear sky,34.4506,40.9171,البوكمال
559,Ranong,TH,87.73,scattered clouds,9.9658,98.6348,Tinidee Hotel@Ranong
563,Smirnykh,RU,76.33,few clouds,49.75,142.8333,Tsentral'naya
564,Baturaja,ID,87.69,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
566,Cabo Rojo,PR,80.67,overcast clouds,18.0866,-67.1457,Hotel Perichi's
567,San Policarpo,PH,86.0,broken clouds,12.1791,125.5072,Agapita M. Nicart
577,Lamu,KE,78.75,light rain,-2.2717,40.902,Lamu House
581,Kyabe,TD,76.51,overcast clouds,9.4515,18.9449,
582,Kavaratti,IN,83.01,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
585,Totness,SR,75.92,broken clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
589,Sibu,MY,84.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
590,Kokopo,PG,84.92,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
593,Merke,KZ,81.5,broken clouds,42.8728,73.1786,Gostinitsa Merki
596,Honiara,SB,83.84,broken clouds,-9.4333,159.95,Heritage Park Hotel
597,Huntington,US,81.32,clear sky,38.4193,-82.4452,Ramada Limited Huntington
602,Soe,ID,77.5,broken clouds,-9.8607,124.284,Dena Hotel
603,Safaga,EG,85.1,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
604,California City,US,85.59,clear sky,35.1258,-117.9859,Best Western California City Inn & Suites
605,Abnub,EG,77.22,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
608,Celestun,MX,78.37,broken clouds,20.8667,-90.4,Posada Lilia
610,Dourbali,TD,85.37,broken clouds,11.8091,15.8632,
612,Nizhniy Tsasuchey,RU,78.33,clear sky,50.5167,115.1333,
613,Pingxiang,CN,76.01,overcast clouds,27.6167,113.85,Haiyuntian Hotel
615,Shimoda,JP,77.36,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
622,Barahona,DO,78.94,overcast clouds,18.2085,-71.1008,Hotel Caribe
624,Moerai,PF,75.92,overcast clouds,-22.4333,-151.3333,Le Manotel
632,Japura,ID,85.6,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
633,Kutum,SD,77.99,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
636,Lubuagan,PH,80.33,overcast clouds,17.3548,121.1747,Rich Kid BootCamp
638,Salinopolis,BR,76.8,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
639,Laguna,US,75.31,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
640,Palu,ID,86.81,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
642,Manokwari,ID,83.37,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
643,Larap,PH,88.38,broken clouds,14.299,122.6504,Montemayor Cove
644,Fare,PF,80.46,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
645,Fukue,JP,77.36,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
646,Aswan,EG,81.7,clear sky,24.0934,32.907,Nuba Nile
648,Male,MV,85.95,broken clouds,4.1748,73.5089,Hotel Octave Maldives
651,Hohhot,CN,89.89,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
653,Dhidhdhoo,MV,82.98,overcast clouds,6.8833,73.1,Dhidhoo beach
660,Grove City,US,81.59,clear sky,39.8815,-83.093,Drury Inn & Suites Columbus Grove City
664,Poso,ID,84.65,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
667,Cartagena,CO,80.22,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
672,Bafoulabe,ML,83.44,overcast clouds,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
673,Gushikawa,JP,76.62,mist,26.3544,127.8686,Kirari Guest House
677,Bulolo,PG,81.57,scattered clouds,-7.2,146.65,Pine Lodge Bulolo
680,Bakel,SN,85.46,broken clouds,14.905,-12.4568,Ablaye Diallo Bakel
