City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
149,Ancud,CL,-41.8697,-73.8203,46.22,91,82,4.85,light rain
150,Tuatapere,NZ,-46.1333,167.6833,46.8,82,100,12.8,overcast clouds
151,Coahuayana,MX,18.7333,-103.6833,78.39,90,100,3.51,overcast clouds
152,Frutal,BR,-20.0247,-48.9406,65.05,58,3,6.22,clear sky
153,Amposta,ES,40.7131,0.581,71.22,67,95,2.82,overcast clouds
154,Cabildo,AR,-38.4842,-61.8954,42.15,91,10,2.51,clear sky
155,Alta Floresta,BR,-9.8756,-56.0861,72.14,74,48,1.88,scattered clouds
156,Labuhan,ID,-6.8844,112.2051,85.89,70,68,11.59,broken clouds
157,Olafsvik,IS,64.8945,-23.7142,48.06,70,93,13.73,overcast clouds
158,Yar-Sale,RU,66.8333,70.8333,65.03,30,3,20.02,clear sky
159,Portland,US,45.5234,-122.6762,64.38,74,100,6.91,overcast clouds
160,Ayia Galini,GR,35.1,24.6833,77.4,68,0,6.51,clear sky
161,Lagoa,PT,39.05,-27.9833,63.46,92,17,7.87,few clouds
162,The Village,US,35.5609,-97.5514,84.78,67,0,18.41,clear sky
163,Lukulu,ZM,-14.3707,23.242,52.63,58,0,5.06,clear sky
164,Shingu,JP,33.7333,135.9833,74.17,82,100,13.33,overcast clouds
165,Qaqortoq,GL,60.7167,-46.0333,38.23,79,2,0.56,clear sky
166,Pisco,PE,-13.7,-76.2167,58.01,88,100,5.75,smoke
167,Vardo,NO,70.3705,31.1107,40.98,93,100,17.27,overcast clouds
168,Husavik,IS,66.0449,-17.3389,48.11,84,95,4.97,overcast clouds
169,Dakar,SN,14.6937,-17.4441,76.08,86,86,13.38,overcast clouds
170,Komsomolskiy,UZ,40.4272,71.7189,81.32,34,53,4.61,broken clouds
171,Lovozero,RU,68.005,35.0117,47.17,80,100,15.14,light rain
172,Acajutla,SV,13.5928,-89.8275,76.42,90,100,7.67,moderate rain
173,Torbay,CA,47.6666,-52.7314,39.97,82,20,5.99,few clouds
174,Nome,US,64.5011,-165.4064,44.67,81,100,9.22,overcast clouds
175,Richmond,US,37.5538,-77.4603,78.78,62,75,12.66,broken clouds
176,Gao,ML,16.6362,1.637,80.38,52,96,15.55,light rain
177,Santa Cruz,BO,-17.8,-63.1667,63.86,82,0,11.5,clear sky
178,Nara,JP,34.6851,135.8049,80.49,49,100,7.25,light rain
179,Makaha,US,21.4694,-158.2175,80.51,69,75,6.91,broken clouds
180,Shakiso,ET,5.75,38.9167,60.53,90,99,0.85,overcast clouds
181,Baley,RU,51.6,116.6333,71.38,40,70,6.13,broken clouds
182,Srandakan,ID,-7.9386,110.2506,84.99,69,57,6.4,broken clouds
183,Havelock,US,34.8791,-76.9013,78.78,86,5,6.64,clear sky
184,Bengkulu,ID,-3.8004,102.2655,83.64,66,91,5.41,overcast clouds
185,Catalao,BR,-18.1658,-47.9464,61.84,71,35,5.12,scattered clouds
186,Kieta,PG,-6.2167,155.6333,82.26,75,81,3.85,light rain
187,Barabai,ID,-2.5833,115.3833,77.45,94,90,1.3,overcast clouds
188,Sabang,ID,5.8933,95.3214,81.88,71,98,5.64,overcast clouds
189,Yulara,AU,-25.2406,130.9889,71.29,29,10,3.58,clear sky
190,Jinan,CN,36.6683,116.9972,97.7,20,94,9.26,overcast clouds
191,La Ronge,CA,55.1001,-105.2842,59.25,77,75,5.75,broken clouds
192,Danane,CI,7.2596,-8.155,70.05,98,100,3.83,overcast clouds
193,Monrovia,LR,6.3005,-10.7969,76.5,87,96,11.27,moderate rain
194,Kirakira,SB,-10.4544,161.9205,82.44,77,95,9.71,overcast clouds
195,Leningradskiy,RU,69.3833,178.4167,40.46,71,90,5.97,overcast clouds
196,Adrar,MR,20.5022,-10.0711,86.38,30,13,9.8,few clouds
197,Santa Rosa,PH,14.3122,121.1114,93.09,62,85,1.48,overcast clouds
198,Bay Roberts,CA,47.5999,-53.2648,40.75,95,1,2.21,clear sky
199,Revyakino,RU,54.3669,37.6589,58.86,74,7,7.56,clear sky
200,Chernyshevskiy,RU,63.0128,112.4714,72.45,38,100,4.0,overcast clouds
201,Poronaysk,RU,49.2167,143.1167,62.67,60,39,14.74,scattered clouds
202,Sistranda,NO,63.7256,8.834,51.76,96,100,9.35,overcast clouds
203,Pasni,PK,25.2631,63.471,83.59,77,76,11.7,broken clouds
204,Reforma,MX,18.1,-91.0167,75.33,73,54,4.29,broken clouds
205,Sitka,US,57.0531,-135.33,64.29,52,0,8.05,clear sky
206,Pochutla,MX,15.7432,-96.4661,73.27,92,100,2.44,overcast clouds
207,Pangody,RU,65.85,74.4859,64.76,56,94,22.77,overcast clouds
208,Kensington,AU,-33.9167,151.2167,69.31,47,75,11.5,broken clouds
209,Hanyang,CN,32.1371,105.5126,85.46,40,100,9.53,overcast clouds
210,Matara,LK,5.9485,80.5353,82.36,76,100,9.44,light rain
211,Teknaf,BD,20.8624,92.3058,78.44,92,100,10.71,overcast clouds
212,Guerrero Negro,MX,27.9769,-114.0611,62.82,85,0,13.69,clear sky
213,Bambanglipuro,ID,-7.95,110.2833,84.92,69,54,6.44,broken clouds
214,Kabare,CD,-2.4683,28.8242,60.48,91,66,1.21,broken clouds
215,Jishou,CN,28.3167,109.7167,76.82,82,100,1.9,overcast clouds
216,Kupang,ID,-10.1667,123.5833,86.63,57,38,14.79,scattered clouds
217,Provideniya,RU,64.3833,-173.3,37.51,100,100,22.37,drizzle
218,Raduzhnyy,RU,62.0961,77.475,60.28,90,100,13.44,light rain
219,Cabo San Lucas,MX,22.8909,-109.9124,82.62,71,44,11.14,scattered clouds
220,Pevek,RU,69.7008,170.3133,35.2,80,17,8.21,few clouds
221,Zhigansk,RU,66.7697,123.3711,58.75,50,6,18.68,clear sky
222,Nerchinskiy Zavod,RU,51.3088,119.61,74.91,38,67,4.05,broken clouds
223,Ca Mau,VN,9.1769,105.15,94.23,48,95,0.51,overcast clouds
224,Kaitangata,NZ,-46.2817,169.8464,45.01,87,100,12.86,overcast clouds
225,Villa Bisono,DO,19.5638,-70.8758,76.1,80,99,6.26,overcast clouds
